Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0239357,41.96091,75.14559,83.92188,36.534,23.934
1,1,83.92289,130.3699,151.4806,156.5244,28.176,8.734
2,2,156.5244,183.2475,198.8313,202.4411,23.614,21.329
3,3,202.4411,324.0706,334.8635,339.4224,58.223,48.498
4,4,339.4224,351.49,360.7863,378.7182,55.008,53.987
5,5,378.7231,465.0572,487.0176,490.848,66.116,58.25
6,6,490.8539,500.9317,512.0649,515.4152,21.903,15.63
