Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0259317,61.55316,80.87868,84.64503,15.334,10.494
1,1,84.64603,138.0012,150.2061,154.4165,2.426,1.83
2,2,154.4165,197.9756,232.4182,235.0627,13.894,9.287
3,3,235.0627,246.9128,262.4284,265.3832,29.006,28.971
4,4,265.3832,305.9235,323.2941,325.9821,9.335,7.714
