Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0259301,18.0025,39.76009,42.19507,9.685,8.991
1,1,42.19507,78.60027,90.58515,94.68317,9.743,4.585
2,2,94.68317,100.6026,115.0407,118.3851,16.906,11.502
3,3,118.3851,177.9837,187.057,189.5235,15.417,8.664
4,4,189.5235,200.5184,210.1146,212.6154,30.754,30.621
5,5,212.6154,239.8815,258.7519,266.9039,23.486,10.691
6,6,266.9039,273.6235,282.7335,286.1751,61.475,61.067
7,7,286.1751,310.7196,335.6878,344.3969,3.147,2.443
