Index,Time,CenterX,CenterY,LeftX,LeftY,RightX,RightY
0,0,0,0,110322.9,0.5273438,-55091.19,0.453125
1,0.01111111,0,0,110322.9,0.5273438,-55091.19,0.453125
2,0.02222222,0,0,110322.9,0.5273438,-55091.19,0.453125
3,0.03333334,0,0,110322.9,0.5273438,-55091.19,0.453125
4,0.04444445,0,0,110322.9,0.5273438,-55091.19,0.453125
5,0.05555556,0,0,110322.9,0.5273438,-55091.19,0.453125
6,0.06666667,0,0,110322.9,0.5273438,-55091.19,0.453125
7,0.07777778,0,0,110322.9,0.5273438,-55091.19,0.453125
8,0.08888889,0,0,110322.9,0.5273438,-55091.19,0.453125
9,0.1,0,0,110322.9,0.5273438,-55091.19,0.453125
10,0.1111111,0,0,110322.9,0.5273438,-55091.19,0.453125
11,0.1222222,0,0,110322.9,0.5273438,-55091.19,0.453125
12,0.1333333,0,0,110322.9,0.5273438,-55091.19,0.453125
13,0.1444445,0,0,110322.9,0.5273438,-55091.19,0.453125
14,0.1555556,0,0,110322.9,0.5273438,-55091.19,0.453125
15,0.1666667,0,0,110322.9,0.5273438,-55091.19,0.453125
16,0.1777778,0,0,110322.9,0.5273438,-55091.19,0.453125
17,0.1888889,0,0,110322.9,0.5273438,-55091.19,0.453125
18,0.2,0,0,110322.9,0.5273438,-55091.19,0.453125
19,0.2111111,0,0,110322.9,0.5273438,-55091.19,0.453125
20,0.2222222,0,0,110322.9,0.5273438,-55091.19,0.453125
21,0.2333333,0,0,110322.9,0.5273438,-55091.19,0.453125
22,0.2444444,0,0,110322.9,0.5273438,-55091.19,0.453125
23,0.2555556,0,0,110322.9,0.5273438,-55091.19,0.453125
24,0.2666667,0,0,110322.9,0.5273438,-55091.19,0.453125
25,0.2777778,0,0,110322.9,0.5273438,-55091.19,0.453125
26,0.2888889,0,0,110322.9,0.5273438,-55091.19,0.453125
27,0.3,0,0,110322.9,0.5273438,-55091.19,0.453125
28,0.3111111,0,0,110322.9,0.5273438,-55091.19,0.453125
29,0.3222222,0,0,110322.9,0.5273438,-55091.19,0.453125
30,0.3333333,0,0,110322.9,0.5273438,-55091.19,0.453125
31,0.3444445,0,0,110322.9,0.5273438,-55091.19,0.453125
32,0.3555556,0,0,110322.9,0.5273438,-55091.19,0.453125
33,0.3666667,0,0,110322.9,0.5273438,-55091.19,0.453125
34,0.3777778,0,0,110322.9,0.5273438,-55091.19,0.453125
35,0.3888889,0,0,110322.9,0.5273438,-55091.19,0.453125
36,0.4,0,0,110322.9,0.5273438,-55091.19,0.453125
37,0.4111111,0,0,110322.9,0.5273438,-55091.19,0.453125
38,0.4222222,0,0,110322.9,0.5273438,-55091.19,0.453125
39,0.4333333,0,0,110322.9,0.5273438,-55091.19,0.453125
40,0.4444444,0,0,110322.9,0.5273438,-55091.19,0.453125
41,0.4555556,0,0,110322.9,0.5273438,-55091.19,0.453125
42,0.4666667,0,0,110322.9,0.5273438,-55091.19,0.453125
43,0.4777778,0,0,110322.9,0.5273438,-55091.19,0.453125
44,0.4888889,0,0,110322.9,0.5273438,-55091.19,0.453125
45,0.5,0,0,110322.9,0.5273438,-55091.19,0.453125
46,0.5111111,0,0,110322.9,0.5273438,-55091.19,0.453125
47,0.5222222,0,0,110322.9,0.5273438,-55091.19,0.453125
48,0.5333334,0,0,110322.9,0.5273438,-55091.19,0.453125
49,0.5444444,0,0,110322.9,0.5273438,-55091.19,0.453125
50,0.5555556,0,0,110322.9,0.5273438,-55091.19,0.453125
51,0.5666667,0,0,110322.9,0.5273438,-55091.19,0.453125
52,0.5777778,0,0,110322.9,0.5273438,-55091.19,0.453125
53,0.5888889,0,0,110322.9,0.5273438,-55091.19,0.453125
54,0.6,0,0,110322.9,0.5273438,-55091.19,0.453125
55,0.6111111,0,0,110322.9,0.5273438,-55091.19,0.453125
56,0.6222222,0,0,110322.9,0.5273438,-55091.19,0.453125
57,0.6333333,0,0,110322.9,0.5273438,-55091.19,0.453125
58,0.6444445,0,0,110322.9,0.5273438,-55091.19,0.453125
59,0.6555555,0,0,110322.9,0.5273438,-55091.19,0.453125
60,0.6666667,0,0,110322.9,0.5273438,-55091.19,0.453125
61,0.6777778,0,0,110322.9,0.5273438,-55091.19,0.453125
62,0.6888889,0,0,110322.9,0.5273438,-55091.19,0.453125
63,0.7,0,0,110322.9,0.5273438,-55091.19,0.453125
64,0.7111111,0,0,110322.9,0.5273438,-55091.19,0.453125
65,0.7222223,0,0,110322.9,0.5273438,-55091.19,0.453125
66,0.7333333,0,0,110322.9,0.5273438,-55091.19,0.453125
67,0.7444445,0,0,110322.9,0.5273438,-55091.19,0.453125
68,0.7555556,0,0,110322.9,0.5273438,-55091.19,0.453125
69,0.7666667,0,0,110322.9,0.5273438,-55091.19,0.453125
70,0.7777778,0,0,110322.9,0.5273438,-55091.19,0.453125
71,0.7888889,0,0,110322.9,0.5273438,-55091.19,0.453125
72,0.8,0,0,110322.9,0.5273438,-55091.19,0.453125
73,0.8111112,0,0,110322.9,0.5273438,-55091.19,0.453125
74,0.8222222,0,0,110322.9,0.5273438,-55091.19,0.453125
75,0.8333334,0,0,110322.9,0.5273438,-55091.19,0.453125
76,0.8444445,0,0,110322.9,0.5273438,-55091.19,0.453125
77,0.8555556,0,0,110322.9,0.5273438,-55091.19,0.453125
78,0.8666667,0,0,110322.9,0.5273438,-55091.19,0.453125
79,0.8777778,0,0,110322.9,0.5273438,-55091.19,0.453125
80,0.8888889,0,0,110322.9,0.5273438,-55091.19,0.453125
81,0.9,0,0,110322.9,0.5273438,-55091.19,0.453125
82,0.9111111,0,0,110322.9,0.5273438,-55091.19,0.453125
83,0.9222223,0,0,110322.9,0.5273438,-55091.19,0.453125
