Index,TaskIndex,StartTimeStamp,EndTimeStamp,ExecuteTime,PrevDistance
0,0,0.5111007,5.143371,4.63227,0
1,1,5.652979,16.11453,10.46155,6.324555
2,2,16.62572,21.57941,4.953686,2
3,3,22.09104,26.24445,4.15341,4
4,4,26.75509,42.42723,15.67214,4.472136
5,5,42.93845,57.16592,14.22747,6
6,6,57.67627,66.48459,8.808319,4.472136
7,7,66.99557,81.5452,14.54963,4.472136
8,8,82.05636,86.29875,4.242393,2.828427
9,9,86.79835,93.06325,6.2649,4.472136
10,10,93.57388,101.9589,8.384995,4.472136
11,11,102.4705,106.7349,4.26442,4.472136
12,12,107.2463,119.5304,12.28408,4.472136
13,13,120.041,129.6151,9.574066,2.828427
14,14,130.1261,140.1995,10.07343,4.472136
15,15,140.7109,151.0841,10.37325,4
16,16,151.5848,164.8905,13.30574,6
17,17,165.4017,169.1658,3.764069,2.828427
18,18,169.677,172.8309,3.1539,2.828427
19,19,173.3425,176.4069,3.064362,2.828427
20,20,176.9182,190.0798,13.16161,7.211102
21,21,190.5805,200.7867,10.20622,2.828427
22,22,201.2983,208.45,7.151657,5.656854
23,23,208.9613,222.8,13.83875,7.211102
24,24,223.3114,229.0969,5.785538,6

