Index,TaskIndex,StartTimeStamp,EndTimeStamp,ResponseTime,Discomfort
0,0,60.01073,62.1198,2.10907,0
1,1,120.0218,121.9187,1.896927,0
2,2,180.041,182.3505,2.309509,0
3,3,240.0621,247.358,7.295807,0
4,4,300.0818,303.2021,3.120239,0
5,5,360.1028,363.3011,3.198303,0
6,6,420.1227,421.9216,1.79892,0

