Index,TaskIndex,StartTimeStamp,EndTimeStamp,ResponseTime,Discomfort
0,0,60.01109,64.16408,4.152988,0
1,1,120.0306,124.0287,3.998116,0
2,2,180.0521,184.0496,3.997513,0
3,3,240.0724,241.9703,1.897934,0

