Index,TaskIndex,StartTimeStamp,EndTimeStamp,ExecuteTime,PrevDistance
0,23,0.5106115,284.3198,283.8092,0
1,22,10.27358,0,0,7.211102
2,21,20.60285,0,0,5.656854
3,20,39.22824,0,0,4.472136
4,19,45.19316,0,0,4.472136
5,18,57.89882,0,0,4
6,17,72.42723,0,0,4.472136
7,16,84.05486,0,0,2.828427
8,15,98.99368,0,0,6
9,14,107.535,0,0,4
10,13,116.265,0,0,4.472136
11,12,135.2798,0,0,2.828427
12,11,145.8641,0,0,4.472136
13,10,153.6614,0,0,4.472136
14,9,166.9563,0,0,4.472136
15,8,174.5533,0,0,4.472136
16,7,199.8986,0,0,2.828427
17,6,215.9036,0,0,4.472136
18,5,222.4004,0,0,4.472136
19,4,234.3183,0,0,6
20,3,241.4932,0,0,4.472136
21,2,250.6781,0,0,4
22,1,266.2721,0,0,2
23,0,276.6806,0,0,6.324555

