Index,TaskIndex,StartTimeStamp,EndTimeStamp,ExecuteTime,PrevDistance
0,0,0.5058938,4.065234,3.55934,0
1,1,4.575869,8.462921,3.887052,2.828427
2,2,8.974441,12.69448,3.720037,4.472136
3,3,13.19434,19.12526,5.930923,6
4,4,19.62651,33.35286,13.72634,4
5,5,33.8636,49.66855,15.80495,2.828427
6,6,50.18018,56.18834,6.00816,4.472136
7,7,56.69897,63.974,7.275028,4.472136
8,8,64.48522,76.44687,11.96165,2
9,9,76.94682,79.29073,2.34391,2.828427
10,10,79.80158,92.14044,12.33886,6.324555
11,11,92.64114,97.44986,4.808723,4.472136
12,12,97.9607,102.2364,4.275726,4
13,13,102.7484,115.3103,12.56194,2
14,14,115.8201,125.8281,10.00793,4.472136
15,15,126.3387,128.2601,1.921379,2.828427
16,16,128.7727,136.8781,8.105392,4
17,17,137.3795,143.0207,5.641144,6
18,18,143.5319,148.6967,5.16481,4.472136
19,19,149.2073,153.8615,4.654129,4.472136
20,20,154.3616,157.5597,3.198181,2
21,21,158.0734,160.6589,2.58551,2.828427
22,22,161.1687,169.4987,8.330093,5.656854
23,23,169.9994,181.3605,11.36107,7.211102
24,24,181.8718,193.0343,11.16246,4
25,25,193.5464,201.82,8.27356,7.211102
26,26,202.3316,205.2625,2.930847,2.828427
27,27,205.774,211.3152,5.541153,4
28,28,211.8174,213.9256,2.108154,2.828427
29,29,214.4372,220.3451,5.907913,6
30,30,220.8568,230.9765,10.11971,8
31,31,231.4861,233.1066,1.62056,2
32,32,233.6178,244.5576,10.93982,4.472136
33,33,245.0693,256.1753,11.10602,6.324555
34,34,256.6869,261.8064,5.119446,4
35,35,262.3178,267.2501,4.932251,2.828427
36,36,267.7498,272.7379,4.988159,4.472136
37,37,273.2475,282.4763,9.228729,6.324555
38,38,282.9769,285.4304,2.453491,2.828427
39,39,285.9421,292.1505,6.208374,2.828427
40,40,292.6511,308.4563,15.80518,6
41,41,308.9659,312.1985,3.232513,2.828427
42,42,312.6983,323.8375,11.13916,2.828427
43,43,324.3491,331.5352,7.186127,6
44,44,332.0458,347.85,15.8042,2.828427
45,45,348.3514,357.9249,9.573456,8
46,46,358.4365,368.3648,9.928284,6
47,47,368.8754,371.9076,3.032196,2.828427
48,48,372.419,0,0,2.828427

