RecordIndex,TargetIndex,ExecuteTime,Discomfort,PrevDistance,StartTimeStamp,EndTimeStamp,DiscomfortTimeStamp
0,99,2.528961,-1,0,0.0039882,2.532949,-1
1,98,1.221618,-1,1.193318,3.033761,4.255379,-1
2,97,0.9544144,-1,1.173282,4.756412,5.710826,-1
3,96,1.655331,-1,0.7330422,6.211557,7.866889,-1
4,95,0.6435337,10,0.4902962,8.367554,9.011087,34.68077

