Index,TaskIndex,StartTimeStamp,EndTimeStamp,ExecuteTime,PrevDistance
0,0,0.5110602,4.065983,3.554923,0
1,1,4.576265,11.90578,7.329519,6.324555
2,2,12.41742,15.79413,3.376717,2
3,3,16.30477,20.0696,3.76483,4
4,4,20.57064,34.86491,14.29427,4.472136
5,5,35.37515,52.1568,16.78165,6
6,6,52.6677,58.71048,6.042782,4.472136
7,7,59.22112,79.04627,19.82515,4.472136
8,8,79.55712,84.72192,5.164795,2.828427
9,9,85.23317,92.12973,6.896561,4.472136
10,10,92.63127,100.9938,8.362511,4.472136
11,11,101.5044,106.0686,4.564148,4.472136
12,12,106.5798,120.252,13.67213,4.472136
13,13,120.7636,132.1367,11.37309,2.828427
14,14,132.6478,141.9447,9.296936,4.472136
15,15,142.4553,153.2948,10.83945,4
16,16,153.7954,165.2347,11.43925,6
17,17,165.7449,169.3569,3.612015,2.828427
18,18,169.8669,172.8312,2.96434,2.828427
19,19,173.3428,176.9969,3.654114,2.828427
20,20,177.5076,191.5239,14.01631,7.211102
21,21,192.0355,202.3533,10.31781,2.828427
22,22,202.854,211.8498,8.995804,5.656854
23,23,212.3604,227.466,15.10556,7.211102
24,24,227.9769,242.926,14.94911,6

