Participant,Session1,Session2,Session3,Baseline,StaticSmall,StaticLarge
1,3,5,6,3,5,6
2,1,4,3,3,1,4
3,4,5,6,5,6,4
4,1,5,7,1,7,5
5,4,6,3,6,4,2
6,6,5,7,7,5,6
7,1,6,5,1,6,5
8,4,5,5,5,4,5
9,4,3,6,3,6,4
11,4,6,6,6,4,6
