Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0458772,17.18262,51.1895,51.8592,128.804,160.747
1,1,51.8592,100.9491,120.9642,136.5373,114.964,176.373
2,2,136.5373,152.2051,170.0546,176.0278,25.946,25.174
3,3,176.0278,247.7575,268.1381,272.5777,33.095,32.024
4,4,272.5777,290.6537,305.6902,309.1684,58.185,57.345
5,5,309.1684,330.28,346.5955,349.8185,58.902,51.79
6,6,349.8185,358.9542,379.6502,384.2715,43.621,39.508
7,7,384.2715,552.4596,581.4362,584.9033,29.404,15.84
8,8,584.9043,643.9418,660.5283,664.1478,29.056,13.001
9,9,664.1478,712.8161,728.0783,731.1454,5.443,3.265
10,10,731.1454,769.7369,782.6539,785.7417,18.43,15.455
