Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0249317,42.93859,58.45295,62.07615,43.682,40.602
1,1,62.07615,130.2147,144.7644,147.419,6.676,3.253
2,2,147.419,187.7467,219.8463,222.773,22.987,14.098
3,3,222.773,234.0458,251.1895,254.0781,49.357,45.843
4,4,254.0781,292.9609,313.1975,315.3721,17.978,14.103
5,5,315.3721,368.4202,375.5282,378.5937,15.204,14.844
6,6,378.5937,439.3247,443.5349,445.1083,13.089,6.653
7,7,445.1083,479.3321,489.3837,490.7507,21.204,18.122
8,8,490.7507,529.3968,553.9911,555.8798,8.494,8.494
9,9,555.8798,574.4352,592.3716,593.9713,25.835,20.218
10,10,593.9713,620.7965,626.9694,628.3622,13.398,2.834
11,11,628.3622,682.0187,696.6853,700.4891,62.881,60.668
12,12,700.4891,733.1107,744.6381,746.2836,33.669,32.877
