Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0329117,11.26285,36.95061,37.29669,139.043,159.398
1,1,37.29769,93.37417,110.8433,113.1443,27.049,15.346
2,2,113.1443,120.4075,133.5572,135.0681,22.169,16.635
3,3,135.0681,179.1722,224.7653,226.3656,14.452,10.669
4,4,226.3656,238.1006,248.5898,250.2999,11.973,11.422
5,5,250.2999,289.9731,298.0036,299.7701,7.437,2.675
6,6,299.7701,308.1062,319.45,322.4015,39.36,36.007
7,7,322.4015,351.7046,371.5932,373.0504,79.374,79.061
8,8,373.0514,425.3529,433.5683,435.1055,19.078,18.672
9,9,435.1055,469.2917,480.4605,481.7831,19.201,19.164
10,10,481.7831,506.632,514.4921,516.2028,5.127,1.433
11,11,516.2028,536.0507,546.2226,547.5012,56.406,43.001
12,12,547.5012,559.8502,592.9824,596.811,69.919,67.281
13,13,596.811,629.6162,691.6691,695.0136,35.563,16.409
14,14,695.0136,716.6888,732.7429,733.5935,13.75,6.011
