Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0269274,16.19423,46.22652,50.155,60.894,52.937
1,1,50.156,85.188,99.36076,102.6152,32.094,25.349
2,2,102.6152,108.9457,169.118,172.5664,50.69,27.074
3,3,172.5664,200.1868,207.4738,210.6248,38.348,18.058
4,4,210.6248,222.4564,234.8743,238.7172,38.959,4.128
5,5,238.7182,255.7988,274.4767,277.5341,53.781,15.271
6,6,277.5351,288.865,301.01,304.403,53.177,29.436
7,7,304.403,340.4432,365.9731,369.2189,94.632,95.677
8,8,369.2189,412.4995,422.5983,426.3208,51.303,10.091
9,9,426.3208,456.6195,470.9918,474.1126,39.52,14.804
10,10,474.1126,501.5906,509.9639,513.0926,41.946,0.705
11,11,513.0926,535.0004,546.9504,550.106,23.604,5.197
12,12,550.106,572.0796,596.2197,599.7967,49.788,5.248
13,13,599.7967,645.3999,653.6076,657.017,33.93,21.782
14,14,657.017,705.2207,709.7971,713.0701,36.593,6.769
15,15,713.0701,807.0792,851.6291,854.6136,40.689,3.321
16,16,854.6136,886.2939,896.5222,899.3439,37.092,13.072
17,17,899.3439,907.2855,927.3444,930.2951,44.367,20.827
18,18,930.2961,959.8984,974.8994,978.0746,26.021,1.975
19,19,978.0746,1010.789,1019.182,1022.738,62.561,53.756
