Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0269277,41.13733,52.07484,53.88949,57.975,31.736
1,1,53.89049,89.73668,100.488,102.0136,70.262,54.508
2,2,102.0136,135.6199,153.5607,155.4817,52.292,11.112
3,3,155.4817,167.0978,182.4221,184.9489,39.225,39.026
4,4,184.9489,220.618,237.5356,239.5355,53.245,52.909
5,5,239.5355,288.3741,295.8036,297.6558,57.466,54.962
6,6,297.6568,345.8496,350.2485,351.5331,64.643,36.405
7,7,351.5331,386.4309,397.8196,398.7305,58.576,38.044
8,8,398.7315,422.1075,449.7043,452.7715,51.045,10.42
9,9,452.7715,470.9741,484.495,486.9169,23.764,18.741
10,10,486.9179,514.4055,524.2346,526.0879,56.68,31.838
11,11,526.0879,572.346,581.7021,583.5297,19.837,10.358
12,12,583.5308,622.5585,638.5229,641.0416,24.698,24.073
13,13,641.0427,673.5939,685.233,686.8163,57.39,39.544
14,14,686.8163,707.4404,714.7552,718.1147,56.562,27.347
15,15,718.1147,743.7225,758.8389,763.0411,16.253,14.562
16,16,763.0411,770.8818,782.5886,784.5626,37.976,9.747
17,17,784.5626,831.0923,841.2214,846.2946,50.716,0.981
18,18,846.2946,851.9604,864.3116,867.2781,53.853,6.468
19,19,867.2781,884.966,901.586,904.1712,56.944,11.274
