Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0249651,19.34835,54.85485,56.78967,9.447,1.866
1,1,56.78967,100.1213,120.1739,128.5786,23.58,21.51
2,2,128.5795,141.0324,157.0472,158.7046,58.645,53.63
3,3,158.7046,258.8808,274.2968,275.9027,8.292,2.94
4,4,275.9027,295.1557,310.7321,312.271,41.863,28.755
5,5,312.271,365.4497,401.6514,404.4788,53.826,46.763
6,6,404.4788,417.3868,432.6611,435.1829,26.201,20.331
7,7,435.1829,489.6116,520.056,521.7458,91.253,91.51
