Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0269282,73.47095,89.96394,97.57319,79.946,69.588
1,1,97.57419,167.9556,184.1665,188.6137,67.907,19.492
2,2,188.6137,235.5584,272.0981,276.0524,46.417,7.149
3,3,276.0534,287.8868,314.6037,319.0622,52.858,28.461
4,4,319.0632,383.7674,403.1856,406.2182,26.251,18.579
5,5,406.2182,475.0896,494.4158,498.0152,62.129,41.204
6,6,498.0152,565.429,571.6149,574.2685,47.175,10.264
7,7,574.2685,623.0975,649.4205,651.2059,45.92,14.292
8,8,651.2059,687.2569,712.6701,715.7681,48.369,12.44
9,9,715.7681,738.4189,753.424,756.601,36.258,15.622
10,10,756.6019,790.593,801.1444,803.4443,54.469,31.146
11,11,803.4443,857.9495,869.3552,871.9167,73.643,59.325
12,12,871.9167,942.6714,961.5391,981.2867,86.125,85.013
13,13,981.2867,1012.184,1023.973,1026.228,54.885,29.379
14,14,1026.228,1051.34,1059.253,1061.759,62.008,35.421
15,15,1061.759,1096.974,1113.015,1115.459,56.792,12.889
16,16,1115.46,1123.85,1138.95,1141.338,41.484,13.083
17,17,1141.338,1204.979,1221.401,1224.695,70.777,63.943
18,18,1224.695,1230.769,1243.026,1246.576,55.686,28.014
19,19,1246.576,1266.377,1280.327,1282.638,28.309,13.018
