Index,TaskIndex,StartTimeStamp,DiscoveredTimeStamp,QuestionedTimeStamp,EndTimeStamp,Error,ErrorOnPlane
0,0,0.0588432,49.6444,68.54984,71.45148,24.977,15.195
1,1,71.45148,107.0691,116.6973,118.9218,45.283,17.752
2,2,118.9218,168.3444,211.4502,216.5913,54.022,42.289
3,3,216.5923,230.3282,250.1947,256.8552,40.378,8.729
4,4,256.8552,299.293,319.5964,322.1859,73.058,72.641
5,5,322.1859,389.7652,406.6415,410.0487,123.704,126.253
6,6,410.0487,501.5656,505.632,507.9076,18.09,15.331
7,7,507.9076,563.5741,575.8589,579.102,28.888,21.306
8,8,579.102,621.1787,655.9103,663.9014,43.854,38.063
9,9,663.9014,686.8371,715.9069,719.0851,26.839,0.131
10,10,719.0851,756.554,763.6769,767.4556,53.321,50.46
