"group","value"
"1",4
"2",4
"3",5
"1",5
"2",5
"3",5
"1",6
"2",6
"3",5
"1",3
"2",5
"3",5
"1",2
"2",3
"3",3
"1",5
"2",4
"3",3
"1",5
"2",5
"3",6
"1",5
"2",5
"3",6
"1",2
"2",3
"3",4
"1",5
"2",5
"3",6
